storageLink,label,time_offset,confidence,type,label_entity_id,type_id,WordNet Type Type,WordNet Type,label_lemma,label_lemma_lower,dbpedia_type,wikidata_type,all_dbpedia_types,all_wikidata_types,type_v1,type_v2,type_v3,type_v4,type_v5
lVMN_iO62Dc,sport utility vehicle,61.0,0.4991614818572998,car,/m/0ctrp,/m/0k4j,OTHER,,sport utility vehicle,sport utility vehicle,OTHER,,http://dbpedia.org/ontology/MeanOfTransportation,,car,car,car,car,OTHER
lVMN_iO62Dc,sport utility vehicle,62.0,0.5087034702301025,car,/m/0ctrp,/m/0k4j,OTHER,,sport utility vehicle,sport utility vehicle,OTHER,,http://dbpedia.org/ontology/MeanOfTransportation,,car,car,car,car,OTHER
lVMN_iO62Dc,sport utility vehicle,63.0,0.4825298488140106,car,/m/0ctrp,/m/0k4j,OTHER,,sport utility vehicle,sport utility vehicle,OTHER,,http://dbpedia.org/ontology/MeanOfTransportation,,car,car,car,car,OTHER
lVMN_iO62Dc,sport utility vehicle,64.0,0.5185067653656006,car,/m/0ctrp,/m/0k4j,OTHER,,sport utility vehicle,sport utility vehicle,OTHER,,http://dbpedia.org/ontology/MeanOfTransportation,,car,car,car,car,OTHER
lVMN_iO62Dc,sport utility vehicle,65.0,0.4862962365150452,car,/m/0ctrp,/m/0k4j,OTHER,,sport utility vehicle,sport utility vehicle,OTHER,,http://dbpedia.org/ontology/MeanOfTransportation,,car,car,car,car,OTHER
lVMN_iO62Dc,sport utility vehicle,66.0,0.5743958353996277,car,/m/0ctrp,/m/0k4j,OTHER,,sport utility vehicle,sport utility vehicle,OTHER,,http://dbpedia.org/ontology/MeanOfTransportation,,car,car,car,car,OTHER
lVMN_iO62Dc,hybrid vehicle,61.0,0.4430412948131561,vehicle,/m/014rrf,/m/07yv9,OTHER,,hybrid vehicle,hybrid vehicle,OTHER,,,,vehicle,vehicle,vehicle,vehicle,OTHER
lVMN_iO62Dc,hybrid vehicle,62.0,0.4508108794689178,vehicle,/m/014rrf,/m/07yv9,OTHER,,hybrid vehicle,hybrid vehicle,OTHER,,,,vehicle,vehicle,vehicle,vehicle,OTHER
lVMN_iO62Dc,hybrid vehicle,63.0,0.4390256404876709,vehicle,/m/014rrf,/m/07yv9,OTHER,,hybrid vehicle,hybrid vehicle,OTHER,,,,vehicle,vehicle,vehicle,vehicle,OTHER
lVMN_iO62Dc,hybrid vehicle,64.0,0.4306371808052063,vehicle,/m/014rrf,/m/07yv9,OTHER,,hybrid vehicle,hybrid vehicle,OTHER,,,,vehicle,vehicle,vehicle,vehicle,OTHER
lVMN_iO62Dc,hybrid vehicle,65.0,0.4323448836803436,vehicle,/m/014rrf,/m/07yv9,OTHER,,hybrid vehicle,hybrid vehicle,OTHER,,,,vehicle,vehicle,vehicle,vehicle,OTHER
lVMN_iO62Dc,hybrid vehicle,66.0,0.441103458404541,vehicle,/m/014rrf,/m/07yv9,OTHER,,hybrid vehicle,hybrid vehicle,OTHER,,,,vehicle,vehicle,vehicle,vehicle,OTHER
lVMN_iO62Dc,electric car,63.0,0.4131952822208405,car,/m/03nlf2w,/m/0k4j,OTHER,,electric car,electric car,OTHER,,http://dbpedia.org/ontology/Automobile,,car,car,car,car,OTHER
